date,home_team,away_team,winner,first_shooter,match_key,home_team.res,away_team.res,goal_diff,total_goals,abs_goal_diff,tournament,neutral,country,ninety_winner,match_type,goal_efficiency,early_goals,mid_goals,late_goals,extra_goals,total_team_goals,late_goal_ratio,early_goal_ratio,goal_momentum,draw_90,winner_is_ninety_winner,late_goal_shift,goals_penalty_ratio,big_tourney,match_intensity,home_confed,pressure_index,home_advantage,neutral_big_tourney,game_balance,year,decade,result_type,target_win_home
1973-08-23,Algeria,Syria,Syria,Colombia,1973-08-23 Algeria Syria,Algeria,Syria,0,0,0,Palestine Cup,TRUE,Libya,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,CAF,0,0,0,1,1973,1970,draw,FALSE
1973-08-25,Algeria,Iraq,Algeria,Colombia,1973-08-25 Algeria Iraq,Algeria,Iraq,0,0,0,Palestine Cup,TRUE,Libya,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,CAF,0,0,0,1,1973,1970,draw,TRUE
1973-09-06,Singapore,Vietnam Republic,Vietnam Republic,Colombia,1973-09-06 Singapore Vietnam Republic,Singapore,Vietnam Republic,0,2,0,Southeast Asian Peninsular Games,FALSE,Singapore,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,1,0,1,1973,1970,draw,FALSE
1974-03-28,Qatar,United Arab Emirates,Qatar,Colombia,1974-03-28 Qatar United Arab Emirates,Qatar,United Arab Emirates,0,2,0,Gulf Cup,TRUE,Kuwait,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,0,0,1,1974,1970,draw,TRUE
1974-07-24,Hong Kong,Indonesia,Indonesia,Colombia,1974-07-24 Hong Kong Indonesia,Hong Kong,Indonesia,0,4,0,Merdeka Tournament,TRUE,Malaysia,Draw,draw,4,0,0,0,0,1,0,0,0,TRUE,FALSE,0,4,FALSE,0,Other,0,0,0,1,1974,1970,draw,FALSE
1974-08-01,India,Indonesia,Indonesia,Colombia,1974-08-01 India Indonesia,India,Indonesia,0,0,0,Merdeka Tournament,TRUE,Malaysia,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,Other,0,0,0,1,1974,1970,draw,FALSE
1974-10-09,Syria,Morocco,Morocco,Colombia,1974-10-09 Syria Morocco,Syria,Morocco,0,2,0,Kuneitra Cup,FALSE,Syria,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,1,0,1,1974,1970,draw,FALSE
1974-11-22,Libya,Tunisia,Tunisia,Colombia,1974-11-22 Libya Tunisia,Libya,Tunisia,1,1,1,African Cup of Nations qualification,FALSE,Libya,Libya,close,0.5,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0.5,FALSE,0,Other,0,1,0,0.5,1974,1970,close_win,FALSE
1974-12-18,South Korea,Malaysia,South Korea,Colombia,1974-12-18 South Korea Malaysia,South Korea,Malaysia,0,0,0,King's Cup,TRUE,Thailand,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,AFC,0,0,0,1,1974,1970,draw,TRUE
1975-07-13,Morocco,Ghana,Morocco,Colombia,1975-07-13 Morocco Ghana,Morocco,Ghana,2,2,2,African Cup of Nations qualification,FALSE,Morocco,Morocco,moderate,0.6666666666666666,0,0,0,0,1,0,0,0,FALSE,TRUE,0,0.6666666666666666,FALSE,0,CAF,0,1,0,0.3333333333333333,1975,1970,moderate_win,TRUE
1975-11-09,Kenya,Malawi,Kenya,Colombia,1975-11-09 Kenya Malawi,Kenya,Malawi,0,4,0,CECAFA Cup,TRUE,Zambia,Draw,draw,4,0,0,0,0,1,0,0,0,TRUE,FALSE,0,4,FALSE,0,CAF,0,0,0,1,1975,1970,draw,TRUE
1975-12-09,Thailand,Malaysia,Thailand,Colombia,1975-12-09 Thailand Malaysia,Thailand,Malaysia,0,2,0,Southeast Asian Peninsular Games,FALSE,Thailand,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,1,0,1,1975,1970,draw,TRUE
1975-12-23,Libya,Syria,Syria,Colombia,1975-12-23 Libya Syria,Libya,Syria,1,1,1,Palestine Cup,TRUE,Tunisia,Libya,close,0.5,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0.5,FALSE,0,Other,0,0,0,0.5,1975,1970,close_win,FALSE
1976-06-20,Czechoslovakia,Germany,Czechoslovakia,Czechoslovakia,1976-06-20 Czechoslovakia Germany,Czechoslovakia,Germany,0,4,0,UEFA Euro,TRUE,Yugoslavia,Draw,draw,4,2,0,0,0,2,0,1,-2,TRUE,FALSE,-2,4,TRUE,4,Other,1,0,1,1,1976,1970,draw,TRUE
1976-12-22,South Korea,Malaysia,Malaysia,Colombia,1976-12-22 South Korea Malaysia,South Korea,Malaysia,0,2,0,King's Cup,TRUE,Thailand,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,0,0,1,1976,1970,draw,FALSE
1977-01-09,Tunisia,Morocco,Tunisia,Colombia,1977-01-09 Tunisia Morocco,Tunisia,Morocco,0,2,0,FIFA World Cup qualification,FALSE,Tunisia,Draw,draw,2,0,1,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,1,0,1,1977,1970,draw,TRUE
1977-03-22,Argentina,Iran,Argentina,Colombia,1977-03-22 Argentina Iran,Argentina,Iran,0,2,0,Real Madrid 75th Anniversary Cup,TRUE,Spain,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CONMEBOL,0,0,0,1,1977,1970,draw,TRUE
1977-06-26,Zambia,Algeria,Zambia,Colombia,1977-06-26 Zambia Algeria,Zambia,Algeria,2,2,2,African Cup of Nations qualification,FALSE,Zambia,Zambia,moderate,0.6666666666666666,0,0,0,0,1,0,0,0,FALSE,TRUE,0,0.6666666666666666,FALSE,0,CAF,0,1,0,0.3333333333333333,1977,1970,moderate_win,TRUE
1977-07-27,Iran,Morocco,Iran,Colombia,1977-07-27 Iran Morocco,Iran,Morocco,0,2,0,Beijing International Friendship Tournament,TRUE,China PR,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,0,0,1,1977,1970,draw,TRUE
1977-08-31,Paraguay,Argentina,Paraguay,Colombia,1977-08-31 Paraguay Argentina,Paraguay,Argentina,2,2,2,Copa Félix Bogado,FALSE,Paraguay,Paraguay,moderate,0.6666666666666666,0,0,0,0,1,0,0,0,FALSE,TRUE,0,0.6666666666666666,FALSE,0,CONMEBOL,0,1,0,0.3333333333333333,1977,1970,moderate_win,TRUE
1979-01-13,Guinea-Bissau,Mali,Mali,Colombia,1979-01-13 Guinea-Bissau Mali,Guinea-Bissau,Mali,0,2,0,Amílcar Cabral Cup,FALSE,Guinea-Bissau,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,1,0,1,1979,1970,draw,FALSE
1979-01-14,Guinea-Bissau,Guinea,Guinea,Colombia,1979-01-14 Guinea-Bissau Guinea,Guinea-Bissau,Guinea,0,4,0,Amílcar Cabral Cup,FALSE,Guinea-Bissau,Draw,draw,4,0,0,0,0,1,0,0,0,TRUE,FALSE,0,4,FALSE,0,CAF,0,1,0,1,1979,1970,draw,FALSE
1979-04-29,Cameroon,Guinea,Guinea,Colombia,1979-04-29 Cameroon Guinea,Cameroon,Guinea,3,3,3,African Cup of Nations qualification,FALSE,Cameroon,Cameroon,clear,0.75,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0.75,FALSE,0,CAF,0,1,0,0.25,1979,1970,clear_win,FALSE
1979-05-22,Argentina,Netherlands,Argentina,Argentina,1979-05-22 Argentina Netherlands,Argentina,Netherlands,0,0,0,FIFA 75th Anniversary Cup,TRUE,Switzerland,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,CONMEBOL,0,0,0,1,1979,1970,draw,TRUE
1979-08-31,Seychelles,Mauritius,Seychelles,Colombia,1979-08-31 Seychelles Mauritius,Seychelles,Mauritius,0,2,0,Indian Ocean Island Games,TRUE,Réunion,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,0,0,1,1979,1970,draw,TRUE
1979-09-29,Indonesia,Thailand,Indonesia,Colombia,1979-09-29 Indonesia Thailand,Indonesia,Thailand,0,0,0,Southeast Asian Games,FALSE,Indonesia,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,AFC,0,1,0,1,1979,1970,draw,TRUE
1980-02-16,Gambia,Mauritania,Gambia,Colombia,1980-02-16 Gambia Mauritania,Gambia,Mauritania,0,4,0,Amílcar Cabral Cup,FALSE,Gambia,Draw,draw,4,0,0,0,0,1,0,0,0,TRUE,FALSE,0,4,FALSE,0,Other,0,1,0,1,1980,1980,draw,TRUE
1980-03-19,Algeria,Egypt,Algeria,Colombia,1980-03-19 Algeria Egypt,Algeria,Egypt,0,4,0,African Cup of Nations,TRUE,Nigeria,Draw,draw,4,0,1,1,0,2,0.5,0,1,TRUE,FALSE,1,4,TRUE,4,CAF,1,0,1,1,1980,1980,draw,TRUE
1980-06-21,Italy,Czechoslovakia,Czechoslovakia,Italy,1980-06-21 Italy Czechoslovakia,Italy,Czechoslovakia,0,2,0,UEFA Euro,FALSE,Italy,Draw,draw,2,0,1,0,0,1,0,0,0,TRUE,FALSE,0,2,TRUE,2,UEFA,1,1,0,1,1980,1980,draw,FALSE
1980-07-12,Nigeria,Tunisia,Nigeria,Colombia,1980-07-12 Nigeria Tunisia,Nigeria,Tunisia,2,2,2,FIFA World Cup qualification,FALSE,Nigeria,Nigeria,moderate,0.6666666666666666,1,0,1,0,2,0.5,0.5,0,FALSE,TRUE,0,0.6666666666666666,FALSE,0,CAF,0,1,0,0.3333333333333333,1980,1980,moderate_win,TRUE
1980-11-30,Zambia,Morocco,Morocco,Colombia,1980-11-30 Zambia Morocco,Zambia,Morocco,2,2,2,FIFA World Cup qualification,FALSE,Zambia,Zambia,moderate,0.6666666666666666,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0.6666666666666666,FALSE,0,CAF,0,1,0,0.3333333333333333,1980,1980,moderate_win,FALSE
1980-12-31,Hong Kong,China PR,China PR,Colombia,1980-12-31 Hong Kong China PR,Hong Kong,China PR,0,0,0,FIFA World Cup qualification,FALSE,Hong Kong,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,Other,0,1,0,1,1980,1980,draw,FALSE
1981-02-13,Mali,Guinea,Guinea,Colombia,1981-02-13 Mali Guinea,Mali,Guinea,0,0,0,Amílcar Cabral Cup,FALSE,Mali,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,CAF,0,1,0,1,1981,1980,draw,FALSE
1981-05-10,Rwanda,Ethiopia,Ethiopia,Colombia,1981-05-10 Rwanda Ethiopia,Rwanda,Ethiopia,1,1,1,African Cup of Nations qualification,FALSE,Rwanda,Rwanda,close,0.5,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0.5,FALSE,0,CAF,0,1,0,0.5,1981,1980,close_win,FALSE
1981-12-13,Malaysia,Singapore,Malaysia,Colombia,1981-12-13 Malaysia Singapore,Malaysia,Singapore,0,2,0,Southeast Asian Games,TRUE,Philippines,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,0,0,1,1981,1980,draw,TRUE
1982-02-21,Ivory Coast,Togo,Togo,Colombia,1982-02-21 Ivory Coast Togo,Ivory Coast,Togo,0,2,0,West African Cup,TRUE,Benin,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,0,0,1,1982,1980,draw,FALSE
1982-02-22,Ivory Coast,Burkina Faso,Burkina Faso,Colombia,1982-02-22 Ivory Coast Burkina Faso,Ivory Coast,Burkina Faso,0,2,0,West African Cup,TRUE,Benin,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,0,0,1,1982,1980,draw,FALSE
1982-03-19,Libya,Ghana,Ghana,Colombia,1982-03-19 Libya Ghana,Libya,Ghana,0,2,0,African Cup of Nations,FALSE,Libya,Draw,draw,2,0,1,0,0,1,0,0,0,TRUE,FALSE,0,2,TRUE,2,Other,1,1,0,1,1982,1980,draw,FALSE
1982-05-15,Thailand,Singapore,Thailand,Colombia,1982-05-15 Thailand Singapore,Thailand,Singapore,0,4,0,King's Cup,FALSE,Thailand,Draw,draw,4,0,0,0,0,1,0,0,0,TRUE,FALSE,0,4,FALSE,0,AFC,0,1,0,1,1982,1980,draw,TRUE
1982-05-17,Thailand,South Korea,Thailand,Colombia,1982-05-17 Thailand South Korea,Thailand,South Korea,0,0,0,King's Cup,FALSE,Thailand,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,AFC,0,1,0,1,1982,1980,draw,TRUE
1982-07-08,Germany,France,Germany,France,1982-07-08 Germany France,Germany,France,0,6,0,FIFA World Cup,TRUE,Spain,Draw,draw,6,1,0,0,2,3,0,0.3333333333333333,-1,TRUE,FALSE,-1,6,TRUE,6,UEFA,1,0,1,1,1982,1980,draw,TRUE
1982-10-17,Indonesia,Malaysia,Indonesia,Colombia,1982-10-17 Indonesia Malaysia,Indonesia,Malaysia,0,0,0,Merlion Cup,TRUE,Singapore,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,AFC,0,0,0,1,1982,1980,draw,TRUE
1982-11-27,Uganda,Kenya,Kenya,Colombia,1982-11-27 Uganda Kenya,Uganda,Kenya,0,2,0,CECAFA Cup,FALSE,Uganda,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,1,0,1,1982,1980,draw,FALSE
1983-02-06,Senegal,Niger,Senegal,Colombia,1983-02-06 Senegal Niger,Senegal,Niger,2,2,2,Friendly,FALSE,Senegal,Senegal,moderate,0.6666666666666666,0,0,0,0,1,0,0,0,FALSE,TRUE,0,0.6666666666666666,FALSE,0,CAF,0,1,0,0.3333333333333333,1983,1980,moderate_win,TRUE
1983-02-20,Gambia,Sierra Leone,Gambia,Colombia,1983-02-20 Gambia Sierra Leone,Gambia,Sierra Leone,-1,1,1,Friendly,FALSE,Gambia,Sierra Leone,close,0.5,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0.5,FALSE,0,Other,0,1,0,0.5,1983,1980,close_win,TRUE
1983-02-27,Mali,Guinea,Mali,Colombia,1983-02-27 Mali Guinea,Mali,Guinea,0,2,0,Friendly,FALSE,Mali,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,1,0,1,1983,1980,draw,TRUE
1983-04-22,Egypt,Congo,Egypt,Colombia,1983-04-22 Egypt Congo,Egypt,Congo,2,2,2,African Cup of Nations qualification,FALSE,Egypt,Egypt,moderate,0.6666666666666666,0,0,0,0,1,0,0,0,FALSE,TRUE,0,0.6666666666666666,FALSE,0,CAF,0,1,0,0.3333333333333333,1983,1980,moderate_win,TRUE
1983-04-24,Mauritius,Ethiopia,Ethiopia,Colombia,1983-04-24 Mauritius Ethiopia,Mauritius,Ethiopia,1,1,1,African Cup of Nations qualification,FALSE,Mauritius,Mauritius,close,0.5,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0.5,FALSE,0,CAF,0,1,0,0.5,1983,1980,close_win,FALSE
1983-06-04,Thailand,Malaysia,Thailand,Colombia,1983-06-04 Thailand Malaysia,Thailand,Malaysia,0,2,0,Southeast Asian Games,TRUE,Singapore,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,0,0,1,1983,1980,draw,TRUE
1983-07-18,Hong Kong,Thailand,Thailand,Colombia,1983-07-18 Hong Kong Thailand,Hong Kong,Thailand,0,2,0,Great Wall Cup,TRUE,China PR,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,Other,0,0,0,1,1983,1980,draw,FALSE
1983-08-28,Morocco,Nigeria,Nigeria,Colombia,1983-08-28 Morocco Nigeria,Morocco,Nigeria,0,0,0,African Cup of Nations qualification,FALSE,Morocco,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,CAF,0,1,0,1,1983,1980,draw,FALSE
1983-12-15,Ivory Coast,Mali,Ivory Coast,Colombia,1983-12-15 Ivory Coast Mali,Ivory Coast,Mali,0,2,0,Friendly,FALSE,Ivory Coast,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,1,0,1,1983,1980,draw,TRUE
1983-12-18,Mali,Nigeria,Mali,Colombia,1983-12-18 Mali Nigeria,Mali,Nigeria,0,0,0,Friendly,TRUE,Ivory Coast,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,CAF,0,0,0,1,1983,1980,draw,TRUE
1984-02-16,Sierra Leone,Mali,Sierra Leone,Colombia,1984-02-16 Sierra Leone Mali,Sierra Leone,Mali,0,0,0,Amílcar Cabral Cup,FALSE,Sierra Leone,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,CAF,0,1,0,1,1984,1980,draw,TRUE
1984-02-19,Sierra Leone,Senegal,Senegal,Colombia,1984-02-19 Sierra Leone Senegal,Sierra Leone,Senegal,0,0,0,Amílcar Cabral Cup,FALSE,Sierra Leone,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,CAF,0,1,0,1,1984,1980,draw,FALSE
1984-03-14,Egypt,Nigeria,Nigeria,Colombia,1984-03-14 Egypt Nigeria,Egypt,Nigeria,0,4,0,African Cup of Nations,TRUE,Ivory Coast,Draw,draw,4,0,1,1,0,2,0.5,0,1,TRUE,FALSE,1,4,TRUE,4,CAF,1,0,1,1,1984,1980,draw,FALSE
1984-03-14,Algeria,Cameroon,Cameroon,Colombia,1984-03-14 Algeria Cameroon,Algeria,Cameroon,0,0,0,African Cup of Nations,TRUE,Ivory Coast,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,TRUE,0,CAF,1,0,1,1,1984,1980,draw,FALSE
1984-03-28,Iraq,Qatar,Iraq,Colombia,1984-03-28 Iraq Qatar,Iraq,Qatar,0,2,0,Gulf Cup,TRUE,Oman,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,0,0,1,1984,1980,draw,TRUE
1984-06-24,Denmark,Spain,Spain,Denmark,1984-06-24 Denmark Spain,Denmark,Spain,0,2,0,UEFA Euro,TRUE,France,Draw,draw,2,0,0,1,0,1,1,0,1,TRUE,FALSE,1,2,TRUE,2,UEFA,1,0,1,1,1984,1980,draw,FALSE
1984-07-15,Senegal,Angola,Angola,Colombia,1984-07-15 Senegal Angola,Senegal,Angola,1,1,1,FIFA World Cup qualification,FALSE,Senegal,Senegal,close,0.5,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0.5,FALSE,0,CAF,0,1,0,0.5,1984,1980,close_win,FALSE
1984-11-23,Kenya,Somalia,Kenya,Colombia,1984-11-23 Kenya Somalia,Kenya,Somalia,1,1,1,African Cup of Nations qualification,FALSE,Kenya,Kenya,close,0.5,0,0,0,0,1,0,0,0,FALSE,TRUE,0,0.5,FALSE,0,CAF,0,1,0,0.5,1984,1980,close_win,TRUE
1984-11-28,Ghana,Togo,Ghana,Colombia,1984-11-28 Ghana Togo,Ghana,Togo,0,2,0,West African Cup,TRUE,Burkina Faso,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,0,0,1,1984,1980,draw,TRUE
1984-12-08,Kenya,Somalia,Kenya,Colombia,1984-12-08 Kenya Somalia,Kenya,Somalia,0,2,0,CECAFA Cup,TRUE,Uganda,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,0,0,1,1984,1980,draw,TRUE
1984-12-13,Saudi Arabia,Iran,Saudi Arabia,Colombia,1984-12-13 Saudi Arabia Iran,Saudi Arabia,Iran,0,2,0,AFC Asian Cup,TRUE,Singapore,Draw,draw,2,0,0,1,0,1,1,0,1,TRUE,FALSE,1,2,TRUE,2,AFC,1,0,1,1,1984,1980,draw,TRUE
1984-12-15,Malawi,Zambia,Zambia,Colombia,1984-12-15 Malawi Zambia,Malawi,Zambia,0,0,0,CECAFA Cup,TRUE,Uganda,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,CAF,0,0,0,1,1984,1980,draw,FALSE
1984-12-16,Iran,Kuwait,Kuwait,Colombia,1984-12-16 Iran Kuwait,Iran,Kuwait,0,2,0,AFC Asian Cup,TRUE,Singapore,Draw,draw,2,1,0,0,0,1,0,1,-1,TRUE,FALSE,-1,2,TRUE,2,AFC,1,0,1,1,1984,1980,draw,FALSE
1984-12-16,Chad,Equatorial Guinea,Chad,Colombia,1984-12-16 Chad Equatorial Guinea,Chad,Equatorial Guinea,0,2,0,UDEAC Cup,TRUE,Congo,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,0,0,1,1984,1980,draw,TRUE
1984-12-19,Central African Republic,Gabon,Gabon,Colombia,1984-12-19 Central African Republic Gabon,Central African Republic,Gabon,0,4,0,UDEAC Cup,TRUE,Congo,Draw,draw,4,0,0,0,0,1,0,0,0,TRUE,FALSE,0,4,FALSE,0,CAF,0,0,0,1,1984,1980,draw,FALSE
1984-12-20,Congo,Cameroon,Cameroon,Colombia,1984-12-20 Congo Cameroon,Congo,Cameroon,0,4,0,UDEAC Cup,FALSE,Congo,Draw,draw,4,0,0,0,0,1,0,0,0,TRUE,FALSE,0,4,FALSE,0,CAF,0,1,0,1,1984,1980,draw,FALSE
1985-04-16,Mozambique,Malawi,Mozambique,Colombia,1985-04-16 Mozambique Malawi,Mozambique,Malawi,0,2,0,African Cup of Nations qualification,FALSE,Mozambique,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,1,0,1,1985,1980,draw,TRUE
1985-04-21,Madagascar,Egypt,Egypt,Colombia,1985-04-21 Madagascar Egypt,Madagascar,Egypt,1,1,1,FIFA World Cup qualification,FALSE,Madagascar,Madagascar,close,0.5,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0.5,FALSE,0,CAF,0,1,0,0.5,1985,1980,close_win,FALSE
1985-07-10,Bahrain,Qatar,Bahrain,Colombia,1985-07-10 Bahrain Qatar,Bahrain,Qatar,0,2,0,Arab Cup,TRUE,Saudi Arabia,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,0,0,1,1985,1980,draw,TRUE
